gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,19,6,3,10,2995572.0,0.0,6358365,3115513,0
0.003,19,7,3,10,2977048.0,2006.3333333333333,5869457,2657541,0.0006739338207960816
0.003,19,8,3,10,0.0,0.0,6079629,5838571,0
0.003,19,9,3,10,2989357.0,0.0,6134474,2904024,0
0.003,20,0,3,10,18052.0,0.0,5754922,5489589,0
0.003,20,1,3,10,2988471.0,0.0,6212265,2976762,0
0.003,20,2,3,10,2983497.0,0.0,5780065,2549353,0
0.003,20,3,3,10,2959774.0,0.0,6189354,2988618,0
0.003,20,4,3,10,0.0,0.0,5561866,5320747,0
0.003,20,5,3,10,2749170.0,4048.666666666667,5985013,3000736,0.0014726869079273624
0.003,20,6,3,10,2994469.0,0.0,5959581,2724292,0
0.003,20,7,3,10,234797.0,0.0,6037783,5555848,0
0.003,20,8,3,10,0.0,0.0,6117116,5870157,0
0.003,20,9,3,10,2988835.0,0.0,6091510,2861691,0
0.003,21,0,3,10,1531038.0,0.0,6231275,4453004,0
0.003,21,1,3,10,2983850.0,0.0,6045165,2820330,0
0.003,21,2,3,10,2988796.0,0.0,6044493,2814242,0
0.003,21,3,3,10,1446091.0,0.0,6263525,4576269,0
0.003,21,4,3,10,0.0,0.0,5953995,5713299,0
0.003,21,5,3,10,2982729.0,0.0,6103994,2880743,0
0.003,21,6,3,10,2988925.0,0.0,6110338,2880481,0
0.003,21,7,3,10,0.0,0.0,5979275,5738250,0
0.003,21,8,3,10,12069.0,4506.0,5996423,5737531,0.37335321899080287
0.003,21,9,3,10,2988845.0,0.0,6290799,3060982,0
0.003,22,0,3,10,2259484.0,0.0,6008456,3501483,0
0.003,22,1,3,10,2984266.0,3003.9999999999995,6010015,2778808,0.0010066126813092398
0.003,22,2,3,10,2983528.0,0.0,6051562,2821398,0
0.003,22,3,3,10,723267.0,0.0,5695423,4725117,0
0.003,22,4,3,10,0.0,0.0,6080467,5833272,0
0.003,22,5,3,10,2326250.0,0.0,6093368,3520131,0
0.003,22,6,3,10,2994800.0,0.0,6122106,2880065,0
0.003,22,7,3,10,668965.0,4059.333333333333,6227448,5316573,0.00606808029318923
0.003,22,8,3,10,0.0,0.0,5889415,5648192,0
0.003,22,9,3,10,2989959.0,0.0,6388937,3152310,0
0.003,23,0,3,10,0.0,0.0,5875076,5628003,0
0.003,23,1,3,10,2995475.0,0.0,6086798,2855997,0
0.003,23,2,3,10,2977309.0,0.0,6055616,2831349,0
0.003,23,3,3,10,2987570.0,0.0,6326073,3097347,0
0.003,23,4,3,10,18081.0,4502.25,6080695,5815588,0.24900447984071677
0.003,23,5,3,10,12056.0,0.0,6081740,5822570,0
0.003,23,6,3,10,2989523.0,0.0,5612347,2381532,0
0.003,23,7,3,10,2965966.0,0.0,5811798,2598601,0
0.003,23,8,3,10,0.0,0.0,6134095,5893012,0
0.003,23,9,3,10,2988857.0,0.0,5706498,2476685,0
0.003,24,0,3,10,2494747.0,2008.3333333333333,5771765,3029877,0.0008050248515514131
0.003,24,1,3,10,2976627.0,0.0,5963564,2739878,0
0.003,24,2,3,10,2989014.0,0.0,6026709,2808497,0
0.003,24,3,3,10,488275.0,0.0,5864819,5135589,0
0.003,24,4,3,10,0.0,0.0,6158488,5911446,0
0.003,24,5,3,10,2983410.0,0.0,6051821,2827506,0
0.003,24,6,3,10,2990478.0,0.0,6166851,2935395,0
0.003,24,7,3,10,18016.0,3998.6666666666665,5976323,5717791,0.22195085849615157
0.003,24,8,3,10,0.0,0.0,5876183,5629380,0
